exchanges,hours,last_exchange,members,offers,requests,timebank,timestamp
1127,5973,1 day 6 hours ago,178,34,26,addington,2019-01-12 00:07:45
439,1375,2 years 40 weeks ago,207,0,0,aha,2019-01-12 00:07:45
none (start up),none (start up),none (start up),2,0,0,alticultura,2019-01-12 00:07:45
2,3,3 years 11 weeks ago,8,0,0,andersoncommunity,2019-01-12 00:07:45
1,5,1 year 29 weeks ago,8,4,4,ate,2019-01-12 00:07:45
none (start up),none (start up),none (start up),2,0,0,avl,2019-01-12 00:07:45
2179,4889,3 weeks 6 days ago,58,89,79,atx,2019-01-12 00:07:45
7,14,1 year 45 weeks ago,11,0,0,labodunautilus,2019-01-12 00:07:45
74,384,3 weeks 3 days ago,37,3,2,blackhills,2019-01-12 00:07:45
193,1110,1 day 10 hours ago,170,59,48,ujimaboston,2019-01-12 00:07:45
17346,52055,10 hours 27 min ago,170,158,194,brattleboro,2019-01-12 00:07:45
1036,6040,1 day 6 hours ago,172,23,29,bridge2rocks,2019-01-12 00:07:45
10962,26235,6 hours 26 min ago,124,105,120,capeann,2019-01-12 00:07:45
393,907,4 days 11 hours ago,49,11,4,care,2019-01-12 00:07:45
5,6,1 year 5 weeks ago,2,0,0,engaging,2019-01-12 00:07:45
831,2038,3 days 15 hours ago,107,31,33,cris,2019-01-12 00:07:45
none (start up),none (start up),none (start up),4,0,0,centraliowa,2019-01-12 00:07:45
56,102,4 weeks 2 days ago,70,16,13,lincolnskillshare,2019-01-12 00:07:45
none (start up),none (start up),none (start up),2,0,0,nzcentralpermaculture,2019-01-12 00:07:45
none (start up),none (start up),none (start up),5,0,0,changexchange,2019-01-12 00:07:45
none (start up),none (start up),none (start up),2,0,0,circlenomic,2019-01-12 00:07:45
none (start up),none (start up),none (start up),8,4,4,citypark,2019-01-12 00:07:45
6304,14388,4 days 6 hours ago,286,116,106,columbia,2019-01-12 00:07:45
6,18,1 week 10 hours ago,22,6,7,slocanvalley,2019-01-12 00:07:45
625,7712,3 years 36 weeks ago,453,10,9,manasota,2019-01-12 00:07:45
30189,209340,3 weeks 15 hours ago,223,6879,6855,tdn,2019-01-12 00:07:45
377,963,2 weeks 2 days ago,18,80,76,cse,2019-01-12 00:07:45
1427,4876,2 days 6 hours ago,58,41,45,communityskillexchange,2019-01-12 00:07:45
60,101,4 days 11 hours ago,88,76,17,richmondcounty,2019-01-12 00:07:45
none (start up),none (start up),none (start up),2,0,0,northfrontenac,2019-01-12 00:07:45
5,22,3 years 18 weeks ago,11,0,0,katytx,2019-01-12 00:07:45
22423,68760,5 hours 31 min ago,426,244,288,crookedriver,2019-01-12 00:07:45
none (start up),none (start up),none (start up),2,0,0,danvilledollars,2019-01-12 00:07:45
361,1080,5 weeks 3 days ago,219,42,38,dc,2019-01-12 00:07:45
405,1285,1 year 6 weeks ago,127,0,0,dhe,2019-01-12 00:07:45
4,5,1 year 23 weeks ago,52,1,1,denton,2019-01-12 00:07:45
642,5337,3 hours 42 min ago,100,34,35,dunedin,2019-01-12 00:07:45
none (start up),none (start up),none (start up),8,0,0,durham,2019-01-12 00:07:45
none (start up),none (start up),none (start up),4,0,0,eann,2019-01-12 00:07:45
224,800,9 weeks 5 days ago,92,12,15,earn,2019-01-12 00:07:45
5640,19596,1 week 8 hours ago,192,35,36,eastbay,2019-01-12 00:07:45
10,119,2 years 27 weeks ago,6,0,0,fablabchch,2019-01-12 00:07:45
1,1,26 weeks 4 days ago,5,0,1,fairbanks,2019-01-12 00:07:45
3,12,30 weeks 3 days ago,33,1,1,farnorth,2019-01-12 00:07:45
none (start up),none (start up),none (start up),2,0,0,farmster,2019-01-12 00:07:45
1,1,2 years 17 weeks ago,6,0,0,flourish,2019-01-12 00:07:45
721,1599,5 days 12 hours ago,91,48,50,frederick,2019-01-12 00:07:45
1,1,1 year 35 weeks ago,15,0,0,ghoodcalgary,2019-01-12 00:07:45
none (start up),none (start up),none (start up),1,0,0,karma,2019-01-12 00:07:45
none (start up),none (start up),none (start up),2,0,0,globetable,2019-01-12 00:07:45
14,30,4 weeks 3 days ago,24,11,5,goodneighborstb,2019-01-12 00:07:45
4,13,3 years 4 weeks ago,14,9,9,scgm,2019-01-12 00:07:45
513,1165,5 days 7 hours ago,49,34,36,greatbay,2019-01-12 00:07:45
10,25,3 years 3 weeks ago,8,0,0,gct,2019-01-12 00:07:45
59,99,44 weeks 4 days ago,51,12,12,greaterheights,2019-01-12 00:07:45
